Year|Month|AgentId|FirstName|LastName|DepartmentId|HourlyRate|Bonus|HourCount|Salary
2012|January|0|Phyllis|Flatley|7|29.84|0|138|4117.92
2012|February|0|Phyllis|Flatley|7|29.84|0|138|4117.92
2012|March|0|Phyllis|Flatley|7|29.84|0|138|4117.92
2012|April|0|Phyllis|Flatley|7|29.84|12|138|4117.92
2012|May|0|Phyllis|Flatley|7|29.84|152|138|4117.92
2012|June|0|Phyllis|Flatley|7|29.84|0|138|4117.92
2012|July|0|Phyllis|Flatley|7|29.84|0|138|4117.92
2012|August|0|Phyllis|Flatley|7|29.84|0|138|4117.92
2012|September|0|Phyllis|Flatley|7|29.84|140|138|4117.92
2012|October|0|Phyllis|Flatley|7|29.84|0|138|4117.92
2012|November|0|Phyllis|Flatley|7|29.84|116|138|4117.92
2012|December|0|Phyllis|Flatley|7|29.84|0|138|4117.92
2012|January|1|Makenzie|Macejkovic|6|16.13|0|60|967.80
2012|February|1|Makenzie|Macejkovic|6|16.13|0|60|967.80
2012|March|1|Makenzie|Macejkovic|6|16.13|158|60|967.80
2012|April|1|Makenzie|Macejkovic|6|16.13|209|60|967.80
2012|May|1|Makenzie|Macejkovic|6|16.13|0|60|967.80
2012|June|1|Makenzie|Macejkovic|6|16.13|0|60|967.80
2012|July|1|Makenzie|Macejkovic|6|16.13|0|60|967.80
2012|August|1|Makenzie|Macejkovic|6|16.13|0|60|967.80
2012|September|1|Makenzie|Macejkovic|6|16.13|0|60|967.80
2012|October|1|Makenzie|Macejkovic|6|16.13|0|60|967.80
2012|November|1|Makenzie|Macejkovic|6|16.13|2|60|967.80
2012|December|1|Makenzie|Macejkovic|6|16.13|124|60|967.80
2012|January|2|Dameon|Berge|7|0.593854736311260822|0|92|54.634635740635995624
2012|February|2|Dameon|Berge|7|0.593854736311260822|0|92|54.634635740635995624
2012|March|2|Dameon|Berge|7|0.593854736311260822|0|92|54.634635740635995624
2012|April|2|Dameon|Berge|7|0.593854736311260822|0|92|54.634635740635995624
